time,resultDescription
2025-09-01T05:45:51.0228623Z,"2025-09-01 05:45:51,022 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:22:52.1368222Z,"2025-09-01 07:22:52,136 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:23:45.3659823Z,"2025-09-01 07:23:45,365 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:32:40.6315566Z,"2025-09-01 07:32:40,631 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:33:51.6460618Z,"2025-09-01 07:33:51,645 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:34:55.5944643Z,"2025-09-01 07:34:55,594 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:35:26.3602149Z,"2025-09-01 07:35:26,352 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:36:48.8499421Z,"2025-09-01 07:36:48,848 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:38:58.3508172Z,"2025-09-01 07:38:58,350 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T07:42:07.12174Z,"2025-09-01 07:42:07,121 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:43:53.2500079Z,"2025-09-01 07:43:53,249 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:47:00.220664Z,"2025-09-01 07:47:00,218 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:48:23.7472658Z,"2025-09-01 07:48:23,746 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T07:49:32.6488562Z,"2025-09-01 07:49:32,648 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:50:29.6206783Z,"2025-09-01 07:50:29,620 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T07:51:57.3794697Z,"2025-09-01 07:51:57,377 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T08:01:15.8905245Z,"2025-09-01 08:01:15,890 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T08:01:39.9075801Z,"2025-09-01 08:01:39,906 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T08:01:48.9455033Z,"2025-09-01 08:01:48,945 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T08:07:43.0588335Z,"2025-09-01 08:07:43,047 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T08:27:42.0418515Z,"2025-09-01 08:27:42,040 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T08:32:18.6587366Z,"2025-09-01 08:32:18,658 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T08:32:53.1828748Z,"2025-09-01 08:32:53,182 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T08:34:32.1509966Z,"2025-09-01 08:34:32,150 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T08:45:05.0107071Z,"2025-09-01 08:45:05,007 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T09:03:55.4827029Z,"2025-09-01 09:03:55,482 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T09:09:00.6326884Z,"2025-09-01 09:09:00,632 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T09:14:21.8585614Z,"2025-09-01 09:14:21,858 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-09-01T09:14:51.7255556Z,"2025-09-01 09:14:51,724 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T09:26:01.3021495Z,"2025-09-01 09:26:01,301 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T09:27:02.5073497Z,"2025-09-01 09:27:02,505 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T09:43:34.3462255Z,"2025-09-01 09:43:34,345 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T09:46:48.7030815Z,"2025-09-01 09:46:48,702 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T09:54:42.2023322Z,"2025-09-01 09:54:42,197 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-01T10:18:46.0986377Z,"2025-09-01 10:18:46,096 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T10:23:06.0054922Z,"2025-09-01 10:23:06,005 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T11:06:15.9354449Z,"2025-09-01 11:06:15,934 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T11:30:05.6061309Z,"2025-09-01 11:30:05,605 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T12:04:28.4318293Z,"2025-09-01 12:04:28,430 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T12:10:05.4410256Z,"2025-09-01 12:10:05,440 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-01T12:11:08.5276235Z,"2025-09-01 12:11:08,526 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-01T12:11:20.4641445Z,"2025-09-01 12:11:20,463 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T12:22:56.0755101Z,"2025-09-01 12:22:56,074 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T12:36:45.951816Z,"2025-09-01 12:36:45,946 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T12:37:19.0641186Z,"2025-09-01 12:37:19,063 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T12:52:59.3236219Z,"2025-09-01 12:52:59,323 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-01T13:28:32.9350576Z,"2025-09-01 13:28:32,934 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T14:05:24.201226Z,"2025-09-01 14:05:24,200 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T14:09:19.9274137Z,"2025-09-01 14:09:19,926 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T14:12:52.813132Z,"2025-09-01 14:12:52,812 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T14:21:23.6859826Z,"2025-09-01 14:21:23,685 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T14:27:03.0331371Z,"2025-09-01 14:27:03,033 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T14:42:19.4107905Z,"2025-09-01 14:42:19,410 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T14:45:32.4527172Z,"2025-09-01 14:45:32,452 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: workspaces | Search Mode: workspace"
2025-09-01T14:47:53.8514443Z,"2025-09-01 14:47:53,851 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: workspaces | Search Mode: workspace"
2025-09-01T14:48:09.9858503Z,"2025-09-01 14:48:09,985 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: workspaces | Search Mode: workspace"
2025-09-01T14:49:57.6037982Z,"2025-09-01 14:49:57,603 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: workspaces | Search Mode: workspace"
2025-09-01T14:53:37.2205468Z,"2025-09-01 14:53:37,219 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T06:33:43.9194511Z,"2025-09-02 06:33:43,917 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T07:56:55.6448205Z,"2025-09-02 07:56:55,637 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T08:17:12.4274848Z,"2025-09-02 08:17:12,426 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T09:12:34.1969477Z,"2025-09-02 09:12:34,196 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-02T09:17:37.1323043Z,"2025-09-02 09:17:37,131 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-09-02T09:32:03.635427Z,"2025-09-02 09:32:03,631 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T09:37:50.7858524Z,"2025-09-02 09:37:50,785 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:40:33.2332134Z,"2025-09-02 09:40:33,232 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:43:21.3835217Z,"2025-09-02 09:43:21,381 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:44:40.0622102Z,"2025-09-02 09:44:40,060 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:46:50.8183168Z,"2025-09-02 09:46:50,817 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:49:38.2238774Z,"2025-09-02 09:49:38,223 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:54:27.2709479Z,"2025-09-02 09:54:27,270 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:54:42.2224523Z,"2025-09-02 09:54:42,221 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T09:56:44.6631552Z,"2025-09-02 09:56:44,655 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T09:59:32.5400895Z,"2025-09-02 09:59:32,539 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T10:24:51.4698564Z,"2025-09-02 10:24:51,469 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T10:52:41.2372631Z,"2025-09-02 10:52:41,235 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T10:53:22.0566621Z,"2025-09-02 10:53:22,055 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T11:18:07.2315429Z,"2025-09-02 11:18:07,227 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T11:28:42.7557793Z,"2025-09-02 11:28:42,752 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T11:29:38.4769907Z,"2025-09-02 11:29:38,476 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T11:34:10.2571023Z,"2025-09-02 11:34:10,256 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T11:36:33.2116872Z,"2025-09-02 11:36:33,211 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T12:34:29.9997944Z,"2025-09-02 12:34:29,995 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T12:37:05.7363117Z,"2025-09-02 12:37:05,736 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T12:38:49.3138491Z,"2025-09-02 12:38:49,313 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T12:41:16.6101845Z,"2025-09-02 12:41:16,609 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T12:41:55.4532252Z,"2025-09-02 12:41:55,452 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-02T13:16:21.2195073Z,"2025-09-02 13:16:21,215 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:17:05.6452792Z,"2025-09-02 13:17:05,645 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:35:11.0735966Z,"2025-09-02 13:35:11,068 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:42:44.2955965Z,"2025-09-02 13:42:44,295 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:43:07.5078495Z,"2025-09-02 13:43:07,507 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T13:44:15.4169836Z,"2025-09-02 13:44:15,416 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T13:44:36.3577438Z,"2025-09-02 13:44:36,355 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:45:02.5002641Z,"2025-09-02 13:45:02,499 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:45:31.1341103Z,"2025-09-02 13:45:31,133 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:46:38.7695239Z,"2025-09-02 13:46:38,769 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:46:52.6356373Z,"2025-09-02 13:46:52,634 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:48:12.7028485Z,"2025-09-02 13:48:12,702 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:51:28.7843888Z,"2025-09-02 13:51:28,784 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T13:53:16.9512102Z,"2025-09-02 13:53:16,949 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T14:45:06.1828128Z,"2025-09-02 14:45:06,181 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T14:46:39.4269905Z,"2025-09-02 14:46:39,426 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T14:51:25.4239506Z,"2025-09-02 14:51:25,423 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T14:52:23.8517149Z,"2025-09-02 14:52:23,851 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-02T14:53:53.5053173Z,"2025-09-02 14:53:53,505 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T15:13:49.218099Z,"2025-09-02 15:13:49,217 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-02T19:23:16.1553153Z,"2025-09-02 19:23:16,152 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T05:51:23.1404776Z,"2025-09-03 05:51:23,135 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T05:52:12.3324461Z,"2025-09-03 05:52:12,322 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T05:53:49.4153773Z,"2025-09-03 05:53:49,415 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:07:54.901585Z,"2025-09-03 06:07:54,899 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:08:09.0333783Z,"2025-09-03 06:08:08,453 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:14:34.6492826Z,"2025-09-03 06:14:34,648 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:18:42.3979175Z,"2025-09-03 06:18:42,397 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:29:30.44085Z,"2025-09-03 06:29:30,434 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-03T06:30:40.1045567Z,"2025-09-03 06:30:40,104 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:45:24.5348198Z,"2025-09-03 06:45:24,534 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:46:33.0119719Z,"2025-09-03 06:46:33,011 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:47:44.2093834Z,"2025-09-03 06:47:44,208 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T06:58:47.0335394Z,"2025-09-03 06:58:47,029 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T07:05:04.9604331Z,"2025-09-03 07:05:04,960 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T07:26:50.8646615Z,"2025-09-03 07:26:50,864 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T07:33:58.8025106Z,"2025-09-03 07:33:57,952 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T07:37:37.5142368Z,"2025-09-03 07:37:37,513 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T07:51:21.3577644Z,"2025-09-03 07:51:21,346 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T07:58:40.0227879Z,"2025-09-03 07:58:40,022 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T07:59:58.0606441Z,"2025-09-03 07:59:58,060 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T08:02:40.2293251Z,"2025-09-03 08:02:40,229 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T08:04:52.8675161Z,"2025-09-03 08:04:52,865 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-03T08:10:24.8368538Z,"2025-09-03 08:10:24,833 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T08:12:20.232267Z,"2025-09-03 08:12:20,230 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T08:49:39.90292Z,"2025-09-03 08:49:39,902 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T08:53:29.4341331Z,"2025-09-03 08:53:29,433 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T08:57:11.3264592Z,"2025-09-03 08:57:11,319 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-03T09:11:43.4434424Z,"2025-09-03 09:11:43,443 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
